"station_id","station_name","address","latitude","longitude","charger_type","charger_count","ac_charger_count","dc_charger_count","status","indoor_outdoor","source","mevnet_object_id","source_url","data_date","source_data_date_original","state","state_original","pbt","pbt_code","location","proposed_charger_count","category","indoor_count","outdoor_count","network_counts","coordinate_valid","include_for_existing_coverage"
"6d65766e-6574-5000-8000-00000000005e","Petron Batu 8 Changkat Jong","","3.9812365","101.1191877","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","94","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Teluk Intan","208314","Petron Batu 8 Changkat Jong","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000005f","PDM KAMPUNG SELABAK","","3.9744059","101.0497781","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","95","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Teluk Intan","208314","PDM KAMPUNG SELABAK","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000060","Segi Fresh Gopeng","","4.4672399","101.1632255","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","96","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Kampar","208308","Segi Fresh Gopeng","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000061","Gopeng Glamping Park","","4.4307353","101.1772242","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","97","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Kampar","208308","Gopeng Glamping Park","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000062","Bagan Serai Market","","5.011303","100.5410082","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","98","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Kerian","208315","Bagan Serai Market","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000063","Bukit Merah Laketown Resort","","4.9946034","100.6602999","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","99","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Kerian","208315","Bukit Merah Laketown Resort","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000064","Bukit Merah Laketown Waterpark","","4.9966512","100.6591043","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","100","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Kerian","208315","Bukit Merah Laketown Waterpark","3","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000065","Arena Square Kuala Kangsar","","4.774147","100.9436897","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","101","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Kuala Kangsar","208305","Arena Square Kuala Kangsar","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000066","Dewan Jubli Perak","","4.7741777","100.9398035","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","102","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Kuala Kangsar","208305","Dewan Jubli Perak","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000067","PETRONAS - Sungai Siput","","4.8073345","101.0931393","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","103","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Kuala Kangsar","208305","PETRONAS - Sungai Siput","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000068","D'Village Victoria Bridge Hotel","","4.8372955","100.9644622","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","104","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Kuala Kangsar","208305","D'Village Victoria Bridge Hotel","3","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000069","Universiti Pendidikan Sultan Idris","","3.6867911","101.5256553","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","105","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Tanjung Malim","208313","Universiti Pendidikan Sultan Idris","3","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000006a","R&R Ulu Bernam (Southbound)","","3.6637656","101.5194625","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","106","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Selangor","SELANGOR","Majlis Perbandaran Hulu Selangor","210310","R&R Ulu Bernam (Southbound)","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000006b","Pasir Salak Community College","","4.1375187","100.9092968","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","107","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Daerah Perak Tengah","208304","Pasir Salak Community College","2","","0","0","{}","TRUE","FALSE"
